               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.023603,            0.005636,                   0,             0.96225,             0.99363,             0.98607,             0.72699,            0.019789,           0.0034874,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.024123,           0.0053156,                   0,             0.95904,             0.99412,              0.9849,             0.72706,            0.019812,            0.003532,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.022388,           0.0057054,                   0,             0.96675,             0.98762,             0.98576,             0.70715,            0.019917,           0.0035426,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.022344,           0.0054532,                   0,             0.97075,             0.98665,             0.99108,             0.73423,            0.018934,             0.00341,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.022636,           0.0058854,                   0,             0.97182,             0.98726,             0.99124,             0.73753,            0.019456,           0.0034226,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.021794,           0.0051942,                   0,             0.96678,             0.98852,             0.99102,             0.72906,            0.020052,           0.0034022,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.025505,           0.0058935,                   0,             0.96482,             0.98989,             0.99017,             0.72614,            0.019697,            0.003431,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.023009,            0.005675,                   0,             0.96606,             0.98938,             0.99149,             0.74251,            0.018619,            0.003383,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024584,            0.005543,                   0,             0.96878,             0.98824,             0.99016,             0.76038,            0.017977,           0.0033824,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.021881,           0.0057099,                   0,             0.97113,             0.98938,             0.98995,             0.73775,            0.018334,           0.0033549,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.021029,            0.005564,                   0,             0.97219,             0.98514,             0.99134,              0.7437,            0.018624,           0.0034219,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.021499,            0.005607,                   0,             0.96667,             0.98526,             0.98967,              0.7479,            0.018145,           0.0033765,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.022817,           0.0054726,                   0,             0.96812,             0.98514,             0.99119,              0.7534,            0.018504,           0.0033266,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.022604,           0.0053074,                   0,             0.96684,              0.9905,             0.99042,             0.75327,            0.018716,           0.0033337,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.023658,           0.0060874,                   0,             0.97044,             0.98726,             0.98969,             0.74702,            0.018876,           0.0033392,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.022101,           0.0055911,                   0,             0.97428,             0.98726,             0.98914,             0.76123,            0.018081,           0.0033067,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.021737,           0.0056612,                   0,             0.97056,             0.98938,             0.98949,             0.75329,            0.018288,           0.0032819,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.022592,            0.005266,                   0,             0.97183,             0.98726,              0.9895,             0.74681,            0.018478,           0.0033173,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.022427,           0.0052506,                   0,             0.97084,             0.98947,             0.99186,             0.73806,            0.019415,           0.0033922,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.021756,           0.0054139,                   0,              0.9689,             0.99232,             0.99016,             0.75142,            0.018117,           0.0032656,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.021867,           0.0052119,                   0,             0.97388,             0.99151,             0.99205,              0.7314,              0.0191,           0.0033739,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.022499,           0.0058106,                   0,             0.96821,             0.99151,             0.98997,             0.73199,            0.018561,           0.0034577,                   0,           0.0076042,           0.0076042,           0.0076042
